읍면동,명칭,주소
남원읍,태흥3리,제주특별자치도 서귀포시 남원읍 태신해안로 81
남원읍,신흥2리,제주특별자치도 서귀포시 남원읍 중산간동로 5752
남원읍,한남리,제주특별자치도 서귀포시 남원읍 남한로 431-2
남원읍,신례1리,제주특별자치도 서귀포시 남원읍 신례리 1378-4
남원읍,위미2리,제주특별자치도 서귀포시 남원읍 위미리 984-4
성산읍,온평리,제주특별자치도 서귀포시 성산읍 온평포구로62번길 13
성산읍,성산리,제주특별자치도 서귀포시 성산읍 성산등용로 65
성산읍,삼달리,제주특별자치도 서귀포시 성산읍 삼달로 249
성산읍,고성리,제주특별자치도 서귀포시 성산읍 고성오조로 40
성산읍,신풍리,제주특별자치도 서귀포시 성산읍 신풍상동로 4
성산읍,신천리,제주특별자치도 서귀포시 성산읍 신천동로 26
성산읍,삼달2리,제주특별자치도 서귀포시 성산읍 삼달하동로31번길 31
성산읍,신산리,제주특별자치도 서귀포시 성산읍 신산중앙로18번길 38
성산읍,신양리,제주특별자치도 서귀포시 성산읍 섭지코지로 4
성산읍,온평리 혼인지마을,제주특별자치도 서귀포시 성산읍 온평애향로23번길 6
성산읍,수산1리,제주특별자치도 서귀포시 성산읍 수산리 1081
성산읍,난산리,제주특별자치도 서귀포시 성산읍 난산리 1161
안덕면,화순리,제주특별자치도 서귀포시 안덕면 화순로 154-42
안덕면,감산리,제주특별자치도 서귀포시 안덕면 일주서로 1521
안덕면,사계리,제주특별자치도 서귀포시 안덕면 서사계중앙로3번길 14
안덕면,덕수리,제주특별자치도 서귀포시 안덕면 덕수회관로 88-8
안덕면,서광서리,제주특별자치도 서귀포시 안덕면 서광리 1762-1
표선면,표선리,제주특별자치도 서귀포시 표선면 표선동서로 203-3
표선면,성읍 문화마을,제주특별자치도 서귀포시 표선면 서성일로10번길 9-6
표선면,성읍 新문화마을,제주특별자치도 서귀포시 표선면 서성일로27번길 16-7
표선면,세화1리,제주특별자치도 서귀포시 표선면 세화강왓로 104
표선면,세화2리,제주특별자치도 서귀포시 표선면 가마병풍로 29
표선면,하천리,제주특별자치도 서귀포시 표선면 일주동로5645번길 13-5
표선면,토산1리,제주특별자치도 서귀포시 표선면 중산간동로5570번길 5-1
송산동,송산서귀,제주특별자치도 서귀포시 칠십리로91번길 11
정방동,정방동,제주특별자치도 서귀포시 중앙로4번길 3
중앙동,중앙동,제주특별자치도 서귀포시 중앙로62번길 20(서귀동)
천지동,천지동,제주특별자치도 서귀포시 서문로 14(서귀동)
천지동,남성마을,제주특별자치도 서귀포시 남성중로 134
효돈동,효돈동,제주특별자치도 서귀포시 월라봉로34번길37(신효동)
동홍동,동홍동,제주특별자치도 서귀포시 동홍중앙로 99(동홍동)
서홍동,서홍동,제주특별자치도 서귀포시 홍중로 28(서홍동)
대륜동,호근,제주특별자치도 서귀포시 호근로26번길 10(호근동)
대륜동,새서귀포,제주특별자치도 서귀포시 신서귀로 87(법환동)
대륜동,법환마을,제주특별자치도 서귀포시 법환로 87
대천동,대천동(신시가지),제주특별자치도 서귀포시 신서로 39(강정동)
대천동,강정마을,제주특별자치도 서귀포시 강정통물로 125-12(강정동)
대천동,용흥마을,제주특별자치도 서귀포시 용흥로38번길 59-6
중문동,중문동,제주특별자치도 서귀포시 중문상로17번길 3(중문동)
예래동,색달마을,제주특별자치도 서귀포시 색달로72번길 8
예래동,하예1,제주특별자치도 서귀포시 예래로 320
