emdNm,hsmpNm,rnAdres,laCrdnt,loCrdnt
애월읍,리사무소북측, 제주특별자치도 제주시 애월읍 하귀10길 17,33.4869023,126.4100530
애월읍,번대동회관(번대동길 20-1)남쪽, 제주특별자치도 제주시 애월읍 하귀2리 2988-2,33.4768567,126.3917567
애월읍,임닛물 앞새마을금고 맞은편, 제주특별자치도 제주시 애월읍 하귀로 72,33.4812753,126.4047048
애월읍,하귀2리 3018-9 소왕천 주차장 옆, 제주특별자치도 제주시 애월읍 하귀2리 1926-7,33.4795199,126.4005221
애월읍,하귀2리사무소주차장, 제주특별자치도 제주시 애월읍 하귀로23길 17-1,33.4789107,126.4032820
애월읍,가문동포구 팔각정옆, 제주특별자치도 제주시 애월읍 가문동길 50,33.4868185,126.3923184
애월읍,어촌계공동창고 앞, 제주특별자치도 제주시 애월읍 신엄9길 54,33.4759515,126.3667183
애월읍,리사무소(신엄9길24) 동측, 제주특별자치도 제주시 애월읍 신엄9길 22-2 ,33.4735327,126.3680200
애월읍,납읍리 1622-4 앞, 제주특별자치도 제주시 애월읍 납읍리 1622-4,33.4380838,126.3337051
애월읍,섯동네, 제주특별자치도 제주시 애월읍 신엄안3길 46 ,33.4740472,126.3622693
애월읍,고스트타운 입구, 제주특별자치도 제주시 애월읍 신엄리 2871,33.4765275,126.3557305
애월읍,경로당옆, 제주특별자치도 제주시 애월읍 유수암리 1042-16,33.4232564,126.4051660
애월읍,부농삼거리, 제주특별자치도 제주시 애월읍 납읍리 2420-2,33.4368050,126.3278403
애월읍,비바리짬뽕(하귀3길 35)옆, 제주특별자치도 제주시 애월읍 하귀1리 123-10,33.4862899,126.4159009
애월읍,대신빌라옆, 제주특별자치도 제주시 애월읍 구엄길 9,33.4751783,126.3756064
애월읍,리사무소 옆, 제주특별자치도 제주시 애월읍 봉성리 3816-4,33.4213124,126.3124192
애월읍,농산물1집하장 앞, 제주특별자치도 제주시 애월읍 고성3길 10 ,33.4590398,126.4144488
애월읍,연못 앞, 제주특별자치도 제주시 애월읍 봉성리 4188-1,33.4138670,126.3106445
애월읍,하귀1리 271-4 도로, 제주특별자치도 제주시 애월읍 일주서로 7219-1,33.4893938,126.4189881
애월읍,동귀카센터 근처, 제주특별자치도 제주시 애월읍 하귀1리 146-1,33.4868545,126.4184307
애월읍,망고레이길건너편, 제주특별자치도 제주시 애월읍 하귀1리 156-5,33.4843378,126.4167000
애월읍,하소로136도로, 제주특별자치도 제주시 애월읍 하소로 136,33.4694420,126.3943150
애월읍,광령7길 13 옆, 제주특별자치도 제주시 애월읍 광령7길 13 ,33.4618940,126.4383490
애월읍,어린이공원 남측 주차장, 제주특별자치도 제주시 애월읍 하귀1리 238-4 ,33.4812828,126.4138228
애월읍,신명동, 제주특별자치도 제주시 애월읍 봉성리 3248-2,33.4177748,126.3175455
애월읍,바글바글식당 주변, 제주특별자치도 제주시 애월읍 하귀5길 2-1,33.4870879,126.4161485
애월읍,소망빌라 옆, 제주특별자치도 제주시 애월읍 구엄리 900-3,33.4748069,126.3779673
애월읍,어음분교후문, 제주특별자치도 제주시 애월읍 어음10길 7,33.4025238,126.3378458
애월읍,광령8길 33 앞, 제주특별자치도 제주시 애월읍 광령8길 33,33.4581496,126.4401289
애월읍,구몰동, 제주특별자치도 제주시 애월읍 봉성리 3375-1,33.4255059,126.3128859
애월읍,구엄초뒷편, 제주특별자치도 제주시 애월읍 신엄리 755-4,33.4728885,126.3740724
애월읍,시드니호텔(가문동길4) 앞, 제주특별자치도 제주시 애월읍 하귀2리 2615-6,33.4835915,126.3953886
애월읍,고우니식당 앞(애월해안로 857), 제주특별자치도 제주시 애월읍 하귀2리 2799-2,33.4882374,126.3896090
애월읍,동동네, 제주특별자치도 제주시 애월읍 상귀리 257-4,33.4736950,126.4112704
애월읍,장전보건소(하소로353) 북측, 제주특별자치도 제주시 애월읍 하소로 353,33.4511275,126.3909930
애월읍,보르미마을, 제주특별자치도 제주시 애월읍 고성리 1449-1,33.4653310,126.4097224
애월읍,계원동 정류장 옆, 제주특별자치도 제주시 애월읍 어림비로 279,33.4100408,126.3340242
애월읍,길하우스 인근 주차장, 제주특별자치도 제주시 애월읍 광령리 산24-3,33.4546241,126.4393426
애월읍,용흥6길입구 버스정류장 맞은편, 제주특별자치도 제주시 애월읍 신엄리 1807-1,33.4567605,126.3676622
애월읍,납읍리 1609-5 앞, 제주특별자치도 제주시 애월읍 납읍리 1609-5,33.4384500,126.3317139
애월읍,광상로 310 동측도로, 제주특별자치도 제주시 애월읍 유수암리 2017-3,33.4431931,126.4004856
애월읍,광령초원빌라 앞(광령북7길 71), 제주특별자치도 제주시 애월읍 광령리 1417-1,33.4654746,126.4375966
애월읍,관광대체육관옆(광령리 2615), 제주특별자치도 제주시 애월읍 광령리 2607-6,33.4462453,126.4333955
애월읍,광령5길 18번지 앞, 제주특별자치도 제주시 애월읍 광령5길 18,33.4621384,126.4357708
애월읍,소앵동(상귀리 1357), 제주특별자치도 제주시 애월읍 상귀리 1279-2,33.4641831,126.4021926
애월읍,해오름어린이집 옆, 제주특별자치도 제주시 애월읍 구엄리 873-12,33.4764039,126.3793794
애월읍,거문덕이, 제주특별자치도 제주시 애월읍 유수암리 1574-4,33.4312151,126.3993762
애월읍,하귀동민회관 옆(학원동), 제주특별자치도 제주시 애월읍 하귀2리 2122-4,33.4732339,126.4000907
애월읍,예평교회 둥지어린이집 주변, 제주특별자치도 제주시 애월읍 하광로 208,33.4696036,126.4190756
애월읍,하귀2리 2101-3 도로, 제주특별자치도 제주시 애월읍 하귀로23길 58,33.4751787,126.4034913
애월읍,애월중 북측길, 제주특별자치도 제주시 애월읍 애월리 415-2,33.4656028,126.3243667
애월읍,후거프라이빗펜션 주변, 제주특별자치도 제주시 애월읍 하귀1리 437-4,33.4891181,126.4113943
애월읍,안남동 인근, 제주특별자치도 제주시 애월읍 하귀1리 1367-2,33.4831328,126.4075237
애월읍,하귀2리 3020 도로 퐁낭아래, 제주특별자치도 제주시 애월읍 학원동길 4,33.4730658,126.3966731
애월읍,소길운동장 위쪽 삼거리, 제주특별자치도 제주시 애월읍 소길리 793-3,33.4346592,126.3793884
애월읍,사라길 133 앞, 제주특별자치도 제주시 애월읍 사라길 133 ,33.4702928,126.4448633
애월읍,상귀반석, 제주특별자치도 제주시 애월읍 항몽로 95,33.4759477,126.4096584
애월읍,교회교육원, 제주특별자치도 제주시 애월읍 하귀26길 4-1,33.4800546,126.3957727
애월읍,애월119센타, 제주특별자치도 제주시 애월읍 고내리 216-1,33.4667445,126.3491922
애월읍,한라주유소옆, 제주특별자치도 제주시 애월읍 광령리 2602-1,33.4447410,126.4333439
애월읍,새마을금고 북측, 제주특별자치도 제주시 애월읍 항몽로 3,33.4832268,126.4043895
애월읍,묘연사 주변, 제주특별자치도 제주시 애월읍 하귀1리 53-5,33.4845562,126.4204300
애월읍,구엄정자 옆(노인복지가는길), 제주특별자치도 제주시 애월읍 중구엄길 39,33.4780708,126.3745786
애월읍,서성동, 제주특별자치도 제주시 애월읍 봉성리 4096-4,33.4171999,126.3111924
애월읍,금성리 599-4 안, 제주특별자치도 제주시 애월읍 금성리 599-4,33.4447647,126.3003626
애월읍,만미식품 남쪽, 제주특별자치도 제주시 애월읍 수산리 2004-1,33.4706817,126.3799986
애월읍,광령초등학교 후문, 제주특별자치도 제주시 애월읍 광령4길 28,33.4589274,126.4361732
애월읍,애월체육관, 제주특별자치도 제주시 애월읍 일주서로 6349,33.4629688,126.3319813
애월읍,애월읍사무소 동측 주차장, 제주특별자치도 제주시 애월읍 일주서로 6322,33.4621468,126.3291907
애월읍,광령리 956건물 건너편 북동쪽, 제주특별자치도 제주시 애월읍 광령리 901-2,33.4498926,126.4384000
애월읍,선운정사 앞, 제주특별자치도 제주시 애월읍 구몰동길 65,33.4293581,126.3071485
애월읍,중화동회관 앞, 제주특별자치도 제주시 애월읍 봉성로3길 17,33.4191539,126.3106284
애월읍,납읍리 1595-2 앞, 제주특별자치도 제주시 애월읍 납읍리 1595-2,33.4373946,126.3316938
애월읍,신엄리 725-1번지 앞 도로, 제주특별자치도 제주시 애월읍 신엄리 725-1,33.4697421,126.3725892
애월읍,무료주차장 서측 삼거리, 제주특별자치도 제주시 애월읍 신엄리 1724-2,33.4621132,126.3669119
애월읍,용흥리 향기마을 자연체험장, 제주특별자치도 제주시 애월읍 용흥2길 39,33.4602524,126.3665101
애월읍,세한빌라 앞쪽, 제주특별자치도 제주시 애월읍 하귀1리 1603-1,33.4848386,126.4057311
애월읍,탐라노인복지센터 앞, 제주특별자치도 제주시 애월읍 답동3길 18,33.4765831,126.4064739
애월읍,해경관사, 제주특별자치도 제주시 애월읍 상하귀길 40-26,33.4749379,126.4121507
애월읍,솔베이지펜션 맞은편, 제주특별자치도 제주시 애월읍 광상로 115,33.4465482,126.4179803
애월읍,원광요양원 내, 제주특별자치도 제주시 애월읍 고성남길 101,33.4289561,126.4307092
애월읍,광령빌라 입구, 제주특별자치도 제주시 애월읍 중산간서로 6566-1,33.4627704,126.4307112
애월읍,올레해오름펜션, 제주특별자치도 제주시 애월읍 광령평화2길 142-15,33.4322687,126.4331166
애월읍,유정연립, 제주특별자치도 제주시 애월읍 광령남3길 49,33.4513574,126.4324930
애월읍,광령자종길 47 앞, 제주특별자치도 제주시 애월읍 광령자종길 54,33.4670815,126.4215640
구좌읍,김녕성세기해변 주차장, 제주특별자치도 제주시 구좌읍 해맞이해안로 9,33.5568745,126.7604556
구좌읍,김녕미로공원 내부, 제주특별자치도 제주시 구좌읍 만장굴길 122,33.5362945,126.7720257
구좌읍,만장굴주차장, 제주특별자치도 제주시 구좌읍 만장굴길 182,33.5283774,126.7716157
구좌읍,김녕리 1223-19앞 해안변, 제주특별자치도 제주시 구좌읍 김녕로21길 21,33.5577622,126.7552017
구좌읍,김녕관광단지내 주차장, 제주특별자치도 제주시 구좌읍 김녕리 492,33.5582702,126.7628946
구좌읍,김녕어촌계창고 앞, 제주특별자치도 제주시 구좌읍 김녕리 1247,33.5564498,126.7534782
구좌읍,임풍해장국앞, 제주특별자치도 제주시 구좌읍 김녕로 141,33.5555767,126.7529637
구좌읍,김녕리 1466-2 앞, 제주특별자치도 제주시 구좌읍 김녕리 1466-2,33.5565646,126.7525192
구좌읍,김녕중학교 안(뒷길 주차장), 제주특별자치도 제주시 구좌읍 김녕로 118-20,33.5526193,126.7506808
구좌읍,동부보건소 앞 , 제주특별자치도 제주시 구좌읍 김녕로 118,33.5545496,126.7507703
구좌읍,김녕초등학교 뒤, 제주특별자치도 제주시 구좌읍 김녕로11길 14-1,33.5556001,126.7500239
구좌읍,한국에너지기술연구원제주글로벌연구센터 내부, 제주특별자치도 제주시 구좌읍 해맞이해안로 200,33.5633740,126.7738140
구좌읍,김녕하나로마트 옆 골목(미쓰김녕 앞), 제주특별자치도 제주시 구좌읍 김녕로9길 7,33.5546277,126.7484578
구좌읍,영월갈비 옆, 제주특별자치도 제주시 구좌읍 김녕로 93,33.5543408,126.7479547
구좌읍,김녕서운타운앞, 제주특별자치도 제주시 구좌읍 김녕항3길 7,33.5562704,126.7469831
구좌읍,운동기구앞, 제주특별자치도 제주시 구좌읍 김녕리 3722,33.5571535,126.7472760
구좌읍,해녀장터 옆,제주특별자치도 제주시 구좌읍 김녕항1길 30,33.5577203,126.7446259
구좌읍,김녕리 백련사 맞은편,제주특별자치도 제주시 구좌읍 김녕로 45,33.5555006,126.7433742
구좌읍,빨간풍차펜션 앞,제주특별자치도 제주시 구좌읍 김녕남2길 36,33.5486534,126.7423151
구좌읍,김녕요트투어 앞 작은공원, 제주특별자치도 제주시 구좌읍 구좌해안로 229-16,33.5582322,126.7371770
구좌읍,선유어린이집 앞 대도로변,제주특별자치도 제주시 구좌읍 김녕리 4402,33.5555055,126.7351449
구좌읍,피노&키오 앞 도로변, 제주특별자치도 제주시 구좌읍 일주동로 1853,33.5563820,126.7293553
구좌읍,소망요양원 뒤 공터, 제주특별자치도 제주시 구좌읍 동김길 150,33.5475774,126.7315290
구좌읍,윈드스톤비치 펜션, 제주특별자치도 제주시 구좌읍 동김길 162-20,33.5460045,126.7315596
구좌읍,구좌체육관 주차장,제주특별자치도 제주시 구좌읍 김녕리 497-6,33.5553552,126.7616810
구좌읍,덕천교회, 제주특별자치도 제주시 구좌읍 월덕로 522,33.5051181,126.7714614
구좌읍,덕천리 복지회관 맞은편,제주특별자치도 제주시 구좌읍 덕천리 245,33.5020036,126.7711864
구좌읍,상덕천,제주특별자치도 제주시 구좌읍 덕천리 1264-1,33.4848237,126.7478589
구좌읍,상덕천버스정거장옆,제주특별자치도 제주시 구좌읍 덕천리 1181,33.4836111,126.7462290
구좌읍,취락구조(동산아래),제주특별자치도 제주시 구좌읍 동복리 1428-5,33.5513075,126.7126261
구좌읍,취락구조(동산위),제주특별자치도 제주시 구좌읍 동복리 1705-109,33.5497719,126.7092264
구좌읍,학교살리기빌라, 제주특별자치도 제주시 구좌읍 조천우회로 988,33.5481875,126.7067962
구좌읍,농업회사법인에그팜 앞,제주특별자치도 제주시 구좌읍 동복리 766-1,33.5522626,126.7206016
구좌읍,상도리 패밀리하우스 앞, 제주특별자치도 제주시 구좌읍 상도로 3,33.5140901,126.8659396
구좌읍,125전경대 부지안,제주특별자치도 제주시 구좌읍 세종로 201,33.5074807,126.8779871
구좌읍,코코코게스트하우스서쪽사거리,제주특별자치도 제주시 구좌읍 상도리 412,33.5159702,126.8674244
구좌읍,상도리 460-18 앞,제주특별자치도 제주시 구좌읍 상도리 460-18,33.5162522,126.8685374
구좌읍,상도리공원 정자 앞,제주특별자치도 제주시 구좌읍 상도리 469-18,33.5201973,126.8655184
구좌읍,구좌읍사무소 옆,제주특별자치도 제주시 구좌읍 세화리 1561-6,33.5225417,126.8524684
구좌읍,세화중학교 안, 제주특별자치도 제주시 구좌읍 일주동로 3132,33.5213339,126.8532400
구좌읍,동녁도서관 안, 제주특별자치도 제주시 구좌읍 일주동로 3148,33.5204629,126.8545567
구좌읍,전향동복지회관 앞,제주특별자치도 제주시 구좌읍 세화리 1139-1,33.5192115,126.8553922
구좌읍,세화리 875-3 앞,제주특별자치도 제주시 구좌읍 세화리 875-3,33.5175532,126.8572499
구좌읍,합전동복지회관 주차장, 제주특별자치도 제주시 구좌읍 세송로 17,33.5165299,126.8601567
